Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GI00S900,2021.09,86906,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB01GI00S900,2021.12,94856,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB01GI00S900,2022.03,89480,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB01GI00S900,2022.06,94354,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB01GI00S900,2022.09,98181,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB01GI00S900,2022.12,103750,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB01GI00S900,2023.03,97239,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB01GI00S900,2023.06,102163,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB01GI00S900,2023.09,104373,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG03AB01GI00S900,2023.12,107435,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG03AB01GI00S900,2024.03,102104,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG03AB01GI00S900,2024.06,104806,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG03AB01GI00S900,2024.09,105881,FINAL,Dollars,6,A,Consolidated accounts - table 1.1,B01GI,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2024,9
