"Period","Derived_Total","Measure","Value"
2016-12-31,"Total Income","Private Sector Transfers to Hhlds",1223
2017-03-31,"Total Income","Private Sector Transfers to Hhlds",1172
2017-06-30,"Total Income","Private Sector Transfers to Hhlds",1134
2017-09-30,"Total Income","Private Sector Transfers to Hhlds",1232
2017-12-31,"Total Income","Private Sector Transfers to Hhlds",1379
2018-03-31,"Total Income","Private Sector Transfers to Hhlds",1258
2018-06-30,"Total Income","Private Sector Transfers to Hhlds",1202
2018-09-30,"Total Income","Private Sector Transfers to Hhlds",1305
2018-12-31,"Total Income","Private Sector Transfers to Hhlds",1192
2019-03-31,"Total Income","Private Sector Transfers to Hhlds",1174
2019-06-30,"Total Income","Private Sector Transfers to Hhlds",1216
2019-09-30,"Total Income","Private Sector Transfers to Hhlds",1227
2019-12-31,"Total Income","Private Sector Transfers to Hhlds",1321
2020-03-31,"Total Income","Private Sector Transfers to Hhlds",1271
2020-06-30,"Total Income","Private Sector Transfers to Hhlds",1180
2020-09-30,"Total Income","Private Sector Transfers to Hhlds",1539
2020-12-31,"Total Income","Private Sector Transfers to Hhlds",1382
2021-03-31,"Total Income","Private Sector Transfers to Hhlds",1493
2021-06-30,"Total Income","Private Sector Transfers to Hhlds",1478
2021-09-30,"Total Income","Private Sector Transfers to Hhlds",1341
2021-12-31,"Total Income","Private Sector Transfers to Hhlds",1126
2022-03-31,"Total Income","Private Sector Transfers to Hhlds",932
2022-06-30,"Total Income","Private Sector Transfers to Hhlds",967
2022-09-30,"Total Income","Private Sector Transfers to Hhlds",1108
2022-12-31,"Total Income","Private Sector Transfers to Hhlds",1159
2023-03-31,"Total Income","Private Sector Transfers to Hhlds",1203
2023-06-30,"Total Income","Private Sector Transfers to Hhlds",1152
2023-09-30,"Total Income","Private Sector Transfers to Hhlds",1192
2023-12-31,"Total Income","Private Sector Transfers to Hhlds",1129
2024-03-31,"Total Income","Private Sector Transfers to Hhlds",1113
2024-06-30,"Total Income","Private Sector Transfers to Hhlds",1115
2024-09-30,"Total Income","Private Sector Transfers to Hhlds",1143
2024-12-31,"Total Income","Private Sector Transfers to Hhlds",1043
2025-03-31,"Total Income","Private Sector Transfers to Hhlds",1140
2025-06-30,"Total Income","Private Sector Transfers to Hhlds",1183
2016-06-30,"Total Income","Profit from Production",10469
2016-09-30,"Total Income","Profit from Production",10561
2016-12-31,"Total Income","Profit from Production",11071
2017-03-31,"Total Income","Profit from Production",11461
2017-06-30,"Total Income","Profit from Production",11296
2017-09-30,"Total Income","Profit from Production",11578
2017-12-31,"Total Income","Profit from Production",11923
2018-03-31,"Total Income","Profit from Production",12120
2018-06-30,"Total Income","Profit from Production",12355
2018-09-30,"Total Income","Profit from Production",12349
2018-12-31,"Total Income","Profit from Production",12582
2019-03-31,"Total Income","Profit from Production",12732
2019-06-30,"Total Income","Profit from Production",13318
2019-09-30,"Total Income","Profit from Production",13598
2019-12-31,"Total Income","Profit from Production",13973
2020-03-31,"Total Income","Profit from Production",13764
2020-06-30,"Total Income","Profit from Production",14427
2020-09-30,"Total Income","Profit from Production",14901
2020-12-31,"Total Income","Profit from Production",15096
2021-03-31,"Total Income","Profit from Production",15573
2021-06-30,"Total Income","Profit from Production",15921
2021-09-30,"Total Income","Profit from Production",16464
2021-12-31,"Total Income","Profit from Production",16984
2022-03-31,"Total Income","Profit from Production",17100
2022-06-30,"Total Income","Profit from Production",16605
2022-09-30,"Total Income","Profit from Production",16023
2022-12-31,"Total Income","Profit from Production",15889
2023-03-31,"Total Income","Profit from Production",16106
2023-06-30,"Total Income","Profit from Production",16883
2023-09-30,"Total Income","Profit from Production",17045
2023-12-31,"Total Income","Profit from Production",17055
2024-03-31,"Total Income","Profit from Production",17363
2024-06-30,"Total Income","Profit from Production",17095
2024-09-30,"Total Income","Profit from Production",17301
2024-12-31,"Total Income","Profit from Production",17760
2025-03-31,"Total Income","Profit from Production",17837
2025-06-30,"Total Income","Profit from Production",18396
2016-06-30,"Payments","Property Income Payable",1718
2016-09-30,"Payments","Property Income Payable",1749
2016-12-31,"Payments","Property Income Payable",1742
2017-03-31,"Payments","Property Income Payable",1701
2017-06-30,"Payments","Property Income Payable",1719
2017-09-30,"Payments","Property Income Payable",1697
2017-12-31,"Payments","Property Income Payable",1698
2018-03-31,"Payments","Property Income Payable",1705
2018-06-30,"Payments","Property Income Payable",1730
2018-09-30,"Payments","Property Income Payable",1765
2018-12-31,"Payments","Property Income Payable",1787
2019-03-31,"Payments","Property Income Payable",1772
2019-06-30,"Payments","Property Income Payable",1744
2019-09-30,"Payments","Property Income Payable",1667
2019-12-31,"Payments","Property Income Payable",1596
2020-03-31,"Payments","Property Income Payable",1566
2020-06-30,"Payments","Property Income Payable",1464
2020-09-30,"Payments","Property Income Payable",1368
2020-12-31,"Payments","Property Income Payable",1293
2021-03-31,"Payments","Property Income Payable",1222
2021-06-30,"Payments","Property Income Payable",1181
2021-09-30,"Payments","Property Income Payable",1134
2021-12-31,"Payments","Property Income Payable",1169
2022-03-31,"Payments","Property Income Payable",1241
2022-06-30,"Payments","Property Income Payable",1401
2022-09-30,"Payments","Property Income Payable",1701
2022-12-31,"Payments","Property Income Payable",2036
2023-03-31,"Payments","Property Income Payable",2337
2023-06-30,"Payments","Property Income Payable",2602
2023-09-30,"Payments","Property Income Payable",2822
2023-12-31,"Payments","Property Income Payable",2969
2024-03-31,"Payments","Property Income Payable",3058
2024-06-30,"Payments","Property Income Payable",3131
2024-09-30,"Payments","Property Income Payable",3156
2024-12-31,"Payments","Property Income Payable",3013
2025-03-31,"Payments","Property Income Payable",2815
2025-06-30,"Payments","Property Income Payable",2594
2016-06-30,"Total Income","Property Income Receivable",4132
2016-09-30,"Total Income","Property Income Receivable",3805
2016-12-31,"Total Income","Property Income Receivable",3862
2017-03-31,"Total Income","Property Income Receivable",3938
2017-06-30,"Total Income","Property Income Receivable",4090
2017-09-30,"Total Income","Property Income Receivable",4141
2017-12-31,"Total Income","Property Income Receivable",4109
2018-03-31,"Total Income","Property Income Receivable",4161
2018-06-30,"Total Income","Property Income Receivable",4273
2018-09-30,"Total Income","Property Income Receivable",4325
2018-12-31,"Total Income","Property Income Receivable",4414
2019-03-31,"Total Income","Property Income Receivable",4426
2019-06-30,"Total Income","Property Income Receivable",4577
2019-09-30,"Total Income","Property Income Receivable",4522
2019-12-31,"Total Income","Property Income Receivable",4327
2020-03-31,"Total Income","Property Income Receivable",3782
2020-06-30,"Total Income","Property Income Receivable",4268
2020-09-30,"Total Income","Property Income Receivable",4660
2020-12-31,"Total Income","Property Income Receivable",5104
2021-03-31,"Total Income","Property Income Receivable",4564
2021-06-30,"Total Income","Property Income Receivable",3809
2021-09-30,"Total Income","Property Income Receivable",3542
2021-12-31,"Total Income","Property Income Receivable",3451
2022-03-31,"Total Income","Property Income Receivable",3777
2022-06-30,"Total Income","Property Income Receivable",4202
2022-09-30,"Total Income","Property Income Receivable",4448
2022-12-31,"Total Income","Property Income Receivable",5036
2023-03-31,"Total Income","Property Income Receivable",5298
2023-06-30,"Total Income","Property Income Receivable",6225
2023-09-30,"Total Income","Property Income Receivable",6694
2023-12-31,"Total Income","Property Income Receivable",6741
2024-03-31,"Total Income","Property Income Receivable",6855
2024-06-30,"Total Income","Property Income Receivable",6733
2024-09-30,"Total Income","Property Income Receivable",6669
2024-12-31,"Total Income","Property Income Receivable",6519
2025-03-31,"Total Income","Property Income Receivable",6458
2025-06-30,"Total Income","Property Income Receivable",6631
1987-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",502
1987-06-30,"HCE","Clothing and footwear",528
1987-06-30,"HCE","Communication",169
