"Period","Derived_Total","Measure","Value"
2017-06-30,"HCE","Miscellaneous goods and services",3921
2017-06-30,"HCE","Recreation and culture",3595
2017-06-30,"HCE","Restaurants and hotels",2595
2017-06-30,"HCE","Transport",5422
2017-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2116
2017-09-30,"HCE","Clothing and footwear",1542
2017-09-30,"HCE","Communication",961
2017-09-30,"HCE","Food and nonalcoholic beverages",5484
2017-09-30,"HCE","Household contents and services",2229
2017-09-30,"HCE","Housing and household utilities",10637
2017-09-30,"HCE","Imports of low value goods purchased directly by households",383
2017-09-30,"HCE","Miscellaneous goods and services",4001
2017-09-30,"HCE","Recreation and culture",3632
2017-09-30,"HCE","Restaurants and hotels",2580
2017-09-30,"HCE","Transport",5495
2017-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2158
2017-12-31,"HCE","Clothing and footwear",1552
2017-12-31,"HCE","Communication",958
2017-12-31,"HCE","Food and nonalcoholic beverages",5608
2017-12-31,"HCE","Household contents and services",2257
2017-12-31,"HCE","Housing and household utilities",10814
2017-12-31,"HCE","Imports of low value goods purchased directly by households",409
2017-12-31,"HCE","Miscellaneous goods and services",4106
2017-12-31,"HCE","Recreation and culture",3632
2017-12-31,"HCE","Restaurants and hotels",2631
2017-12-31,"HCE","Transport",5662
2018-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2143
2018-03-31,"HCE","Clothing and footwear",1500
2018-03-31,"HCE","Communication",965
2018-03-31,"HCE","Food and nonalcoholic beverages",5579
2018-03-31,"HCE","Household contents and services",2301
2018-03-31,"HCE","Housing and household utilities",10955
2018-03-31,"HCE","Imports of low value goods purchased directly by households",429
2018-03-31,"HCE","Miscellaneous goods and services",4160
2018-03-31,"HCE","Recreation and culture",3682
2018-03-31,"HCE","Restaurants and hotels",2640
2018-03-31,"HCE","Transport",5825
2018-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2152
2018-06-30,"HCE","Clothing and footwear",1564
2018-06-30,"HCE","Communication",969
2018-06-30,"HCE","Food and nonalcoholic beverages",5650
2018-06-30,"HCE","Household contents and services",2343
2018-06-30,"HCE","Housing and household utilities",11166
2018-06-30,"HCE","Imports of low value goods purchased directly by households",440
2018-06-30,"HCE","Miscellaneous goods and services",4261
2018-06-30,"HCE","Recreation and culture",3740
2018-06-30,"HCE","Restaurants and hotels",2659
2018-06-30,"HCE","Transport",5972
2018-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2174
2018-09-30,"HCE","Clothing and footwear",1620
2018-09-30,"HCE","Communication",958
2018-09-30,"HCE","Food and nonalcoholic beverages",5658
2018-09-30,"HCE","Household contents and services",2383
2018-09-30,"HCE","Housing and household utilities",11312
2018-09-30,"HCE","Imports of low value goods purchased directly by households",451
2018-09-30,"HCE","Miscellaneous goods and services",4355
2018-09-30,"HCE","Recreation and culture",3859
2018-09-30,"HCE","Restaurants and hotels",2734
2018-09-30,"HCE","Transport",6133
2018-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2241
2018-12-31,"HCE","Clothing and footwear",1646
2018-12-31,"HCE","Communication",950
2018-12-31,"HCE","Food and nonalcoholic beverages",5741
2018-12-31,"HCE","Household contents and services",2409
2018-12-31,"HCE","Housing and household utilities",11441
2018-12-31,"HCE","Imports of low value goods purchased directly by households",470
2018-12-31,"HCE","Miscellaneous goods and services",4454
2018-12-31,"HCE","Recreation and culture",3895
2018-12-31,"HCE","Restaurants and hotels",2818
2018-12-31,"HCE","Transport",6154
2019-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2265
2019-03-31,"HCE","Clothing and footwear",1623
2019-03-31,"HCE","Communication",943
2019-03-31,"HCE","Food and nonalcoholic beverages",5711
2019-03-31,"HCE","Household contents and services",2426
2019-03-31,"HCE","Housing and household utilities",11646
2019-03-31,"HCE","Imports of low value goods purchased directly by households",494
2019-03-31,"HCE","Miscellaneous goods and services",4583
2019-03-31,"HCE","Recreation and culture",3813
2019-03-31,"HCE","Restaurants and hotels",2778
2019-03-31,"HCE","Transport",5996
2019-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2335
2019-06-30,"HCE","Clothing and footwear",1668
2019-06-30,"HCE","Communication",958
2019-06-30,"HCE","Food and nonalcoholic beverages",5697
2019-06-30,"HCE","Household contents and services",2453
2019-06-30,"HCE","Housing and household utilities",11855
2019-06-30,"HCE","Imports of low value goods purchased directly by households",533
2019-06-30,"HCE","Miscellaneous goods and services",4649
2019-06-30,"HCE","Recreation and culture",3983
2019-06-30,"HCE","Restaurants and hotels",2827
2019-06-30,"HCE","Transport",6012
2019-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2402
2019-09-30,"HCE","Clothing and footwear",1703
2019-09-30,"HCE","Communication",974
2019-09-30,"HCE","Food and nonalcoholic beverages",5723
2019-09-30,"HCE","Household contents and services",2524
2019-09-30,"HCE","Housing and household utilities",12040
2019-09-30,"HCE","Imports of low value goods purchased directly by households",581
2019-09-30,"HCE","Miscellaneous goods and services",4730
2019-09-30,"HCE","Recreation and culture",4045
2019-09-30,"HCE","Restaurants and hotels",2864
2019-09-30,"HCE","Transport",5995
2019-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2461
2019-12-31,"HCE","Clothing and footwear",1723
2019-12-31,"HCE","Communication",973
2019-12-31,"HCE","Food and nonalcoholic beverages",5770
2019-12-31,"HCE","Household contents and services",2554
2019-12-31,"HCE","Housing and household utilities",12173
2019-12-31,"HCE","Imports of low value goods purchased directly by households",560
2019-12-31,"HCE","Miscellaneous goods and services",4734
2019-12-31,"HCE","Recreation and culture",4124
2019-12-31,"HCE","Restaurants and hotels",2914
2019-12-31,"HCE","Transport",6002
2020-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2535
2020-03-31,"HCE","Clothing and footwear",1575
2020-03-31,"HCE","Communication",957
2020-03-31,"HCE","Food and nonalcoholic beverages",6317
2020-03-31,"HCE","Household contents and services",2524
2020-03-31,"HCE","Housing and household utilities",12283
2020-03-31,"HCE","Imports of low value goods purchased directly by households",532
2020-03-31,"HCE","Miscellaneous goods and services",4752
2020-03-31,"HCE","Recreation and culture",4060
2020-03-31,"HCE","Restaurants and hotels",2611
2020-03-31,"HCE","Transport",5645
2020-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2018
2020-06-30,"HCE","Clothing and footwear",1334
2020-06-30,"HCE","Communication",966
2020-06-30,"HCE","Food and nonalcoholic beverages",6123
2020-06-30,"HCE","Household contents and services",2241
2020-06-30,"HCE","Housing and household utilities",12309
2020-06-30,"HCE","Imports of low value goods purchased directly by households",518
2020-06-30,"HCE","Miscellaneous goods and services",4381
2020-06-30,"HCE","Recreation and culture",3527
2020-06-30,"HCE","Restaurants and hotels",1963
2020-06-30,"HCE","Transport",3381
2020-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2489
2020-09-30,"HCE","Clothing and footwear",1826
2020-09-30,"HCE","Communication",973
2020-09-30,"HCE","Food and nonalcoholic beverages",6204
2020-09-30,"HCE","Household contents and services",2931
2020-09-30,"HCE","Housing and household utilities",12583
2020-09-30,"HCE","Imports of low value goods purchased directly by households",507
2020-09-30,"HCE","Miscellaneous goods and services",4766
2020-09-30,"HCE","Recreation and culture",4256
2020-09-30,"HCE","Restaurants and hotels",2990
2020-09-30,"HCE","Transport",4836
2020-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2416
2020-12-31,"HCE","Clothing and footwear",1909
2020-12-31,"HCE","Communication",980
2020-12-31,"HCE","Food and nonalcoholic beverages",6063
2020-12-31,"HCE","Household contents and services",2987
2020-12-31,"HCE","Housing and household utilities",12797
2020-12-31,"HCE","Imports of low value goods purchased directly by households",483
2020-12-31,"HCE","Miscellaneous goods and services",4922
2020-12-31,"HCE","Recreation and culture",4419
2020-12-31,"HCE","Restaurants and hotels",3397
2020-12-31,"HCE","Transport",4963
2021-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2408
2021-03-31,"HCE","Clothing and footwear",1994
2021-03-31,"HCE","Communication",1021
2021-03-31,"HCE","Food and nonalcoholic beverages",6153
2021-03-31,"HCE","Household contents and services",3082
2021-03-31,"HCE","Housing and household utilities",13042
2021-03-31,"HCE","Imports of low value goods purchased directly by households",515
2021-03-31,"HCE","Miscellaneous goods and services",5053
2021-03-31,"HCE","Recreation and culture",4872
2021-03-31,"HCE","Restaurants and hotels",4289
2021-03-31,"HCE","Transport",5373
2021-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2457
2021-06-30,"HCE","Clothing and footwear",2036
2021-06-30,"HCE","Communication",987
2021-06-30,"HCE","Food and nonalcoholic beverages",6285
2021-06-30,"HCE","Household contents and services",3205
2021-06-30,"HCE","Housing and household utilities",13121
2021-06-30,"HCE","Imports of low value goods purchased directly by households",521
2021-06-30,"HCE","Miscellaneous goods and services",5200
2021-06-30,"HCE","Recreation and culture",4858
2021-06-30,"HCE","Restaurants and hotels",3823
2021-06-30,"HCE","Transport",5903
2021-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2324
2021-09-30,"HCE","Clothing and footwear",1701
2021-09-30,"HCE","Communication",976
2021-09-30,"HCE","Food and nonalcoholic beverages",6676
2021-09-30,"HCE","Household contents and services",2749
2021-09-30,"HCE","Housing and household utilities",13378
2021-09-30,"HCE","Imports of low value goods purchased directly by households",582
2021-09-30,"HCE","Miscellaneous goods and services",5009
2021-09-30,"HCE","Recreation and culture",4278
2021-09-30,"HCE","Restaurants and hotels",2893
2021-09-30,"HCE","Transport",4944
2021-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2467
2021-12-31,"HCE","Clothing and footwear",2083
2021-12-31,"HCE","Communication",1000
2021-12-31,"HCE","Food and nonalcoholic beverages",6586
2021-12-31,"HCE","Household contents and services",3213
2021-12-31,"HCE","Housing and household utilities",13671
2021-12-31,"HCE","Imports of low value goods purchased directly by households",650
2021-12-31,"HCE","Miscellaneous goods and services",5389
2021-12-31,"HCE","Recreation and culture",4893
2021-12-31,"HCE","Restaurants and hotels",3260
2021-12-31,"HCE","Transport",5382
2022-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2531
2022-03-31,"HCE","Clothing and footwear",2127
2022-03-31,"HCE","Communication",1042
2022-03-31,"HCE","Food and nonalcoholic beverages",6754
2022-03-31,"HCE","Household contents and services",3312
2022-03-31,"HCE","Housing and household utilities",14058
2022-03-31,"HCE","Imports of low value goods purchased directly by households",601
2022-03-31,"HCE","Miscellaneous goods and services",5542
2022-03-31,"HCE","Recreation and culture",5294
2022-03-31,"HCE","Restaurants and hotels",4130
2022-03-31,"HCE","Transport",6384
2022-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2535
2022-06-30,"HCE","Clothing and footwear",2134
2022-06-30,"HCE","Communication",1029
2022-06-30,"HCE","Food and nonalcoholic beverages",6684
2022-06-30,"HCE","Household contents and services",3196
2022-06-30,"HCE","Housing and household utilities",14229
2022-06-30,"HCE","Imports of low value goods purchased directly by households",592
2022-06-30,"HCE","Miscellaneous goods and services",5646
2022-06-30,"HCE","Recreation and culture",5234
2022-06-30,"HCE","Restaurants and hotels",3917
2022-06-30,"HCE","Transport",6277
2022-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2577
2022-09-30,"HCE","Clothing and footwear",2162
2022-09-30,"HCE","Communication",1037
2022-09-30,"HCE","Food and nonalcoholic beverages",6877
2022-09-30,"HCE","Household contents and services",3185
2022-09-30,"HCE","Housing and household utilities",14471
2022-09-30,"HCE","Imports of low value goods purchased directly by households",573
2022-09-30,"HCE","Miscellaneous goods and services",5858
2022-09-30,"HCE","Recreation and culture",5049
2022-09-30,"HCE","Restaurants and hotels",3949
2022-09-30,"HCE","Transport",7141
2022-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2682
2022-12-31,"HCE","Clothing and footwear",2188
2022-12-31,"HCE","Communication",1030
2022-12-31,"HCE","Food and nonalcoholic beverages",7170
2022-12-31,"HCE","Household contents and services",3142
2022-12-31,"HCE","Housing and household utilities",14765
2022-12-31,"HCE","Imports of low value goods purchased directly by households",586
2022-12-31,"HCE","Miscellaneous goods and services",5962
2022-12-31,"HCE","Recreation and culture",5251
2022-12-31,"HCE","Restaurants and hotels",3981
2022-12-31,"HCE","Transport",7358
2023-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2562
2023-03-31,"HCE","Clothing and footwear",2195
2023-03-31,"HCE","Communication",1019
2023-03-31,"HCE","Food and nonalcoholic beverages",7276
2023-03-31,"HCE","Household contents and services",3210
2023-03-31,"HCE","Housing and household utilities",15066
2023-03-31,"HCE","Imports of low value goods purchased directly by households",600
2023-03-31,"HCE","Miscellaneous goods and services",6132
2023-03-31,"HCE","Recreation and culture",5440
2023-03-31,"HCE","Restaurants and hotels",4081
2023-03-31,"HCE","Transport",7573
2023-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2579
2023-06-30,"HCE","Clothing and footwear",2110
2023-06-30,"HCE","Communication",1008
2023-06-30,"HCE","Food and nonalcoholic beverages",7373
2023-06-30,"HCE","Household contents and services",3189
2023-06-30,"HCE","Housing and household utilities",15369
2023-06-30,"HCE","Imports of low value goods purchased directly by households",644
2023-06-30,"HCE","Miscellaneous goods and services",6292
2023-06-30,"HCE","Recreation and culture",5440
2023-06-30,"HCE","Restaurants and hotels",3960
2023-06-30,"HCE","Transport",8089
2023-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2606
2023-09-30,"HCE","Clothing and footwear",2139
2023-09-30,"HCE","Communication",1014
2023-09-30,"HCE","Food and nonalcoholic beverages",7469
2023-09-30,"HCE","Household contents and services",3144
2023-09-30,"HCE","Housing and household utilities",15671
2023-09-30,"HCE","Imports of low value goods purchased directly by households",662
2023-09-30,"HCE","Miscellaneous goods and services",6416
2023-09-30,"HCE","Recreation and culture",5317
2023-09-30,"HCE","Restaurants and hotels",3926
2023-09-30,"HCE","Transport",7661
2023-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2617
2023-12-31,"HCE","Clothing and footwear",2078
2023-12-31,"HCE","Communication",1012
2023-12-31,"HCE","Food and nonalcoholic beverages",7509
2023-12-31,"HCE","Household contents and services",3094
2023-12-31,"HCE","Housing and household utilities",15948
2023-12-31,"HCE","Imports of low value goods purchased directly by households",691
2023-12-31,"HCE","Miscellaneous goods and services",6483
2023-12-31,"HCE","Recreation and culture",5245
2023-12-31,"HCE","Restaurants and hotels",3934
2023-12-31,"HCE","Transport",7837
2024-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2643
2024-03-31,"HCE","Clothing and footwear",2014
2024-03-31,"HCE","Communication",980
2024-03-31,"HCE","Food and nonalcoholic beverages",7533
2024-03-31,"HCE","Household contents and services",3075
2024-03-31,"HCE","Housing and household utilities",16210
2024-03-31,"HCE","Imports of low value goods purchased directly by households",721
2024-03-31,"HCE","Miscellaneous goods and services",6542
2024-03-31,"HCE","Recreation and culture",5277
2024-03-31,"HCE","Restaurants and hotels",4096
2024-03-31,"HCE","Transport",7583
2024-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2654
2024-06-30,"HCE","Clothing and footwear",2038
2024-06-30,"HCE","Communication",1000
2024-06-30,"HCE","Food and nonalcoholic beverages",7631
2024-06-30,"HCE","Household contents and services",3074
2024-06-30,"HCE","Housing and household utilities",16504
2024-06-30,"HCE","Imports of low value goods purchased directly by households",723
2024-06-30,"HCE","Miscellaneous goods and services",6630
2024-06-30,"HCE","Recreation and culture",5460
2024-06-30,"HCE","Restaurants and hotels",3834
2024-06-30,"HCE","Transport",7377
2024-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2652
2024-09-30,"HCE","Clothing and footwear",2035
2024-09-30,"HCE","Communication",1008
2024-09-30,"HCE","Food and nonalcoholic beverages",7602
2024-09-30,"HCE","Household contents and services",3089
2024-09-30,"HCE","Housing and household utilities",16734
2024-09-30,"HCE","Imports of low value goods purchased directly by households",712
2024-09-30,"HCE","Miscellaneous goods and services",6709
2024-09-30,"HCE","Recreation and culture",5464
2024-09-30,"HCE","Restaurants and hotels",3775
2024-09-30,"HCE","Transport",7378
2024-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2658
2024-12-31,"HCE","Clothing and footwear",2047
2024-12-31,"HCE","Communication",988
2024-12-31,"HCE","Food and nonalcoholic beverages",7623
2024-12-31,"HCE","Household contents and services",3126
2024-12-31,"HCE","Housing and household utilities",16918
2024-12-31,"HCE","Imports of low value goods purchased directly by households",726
2024-12-31,"HCE","Miscellaneous goods and services",6757
2024-12-31,"HCE","Recreation and culture",5517
2024-12-31,"HCE","Restaurants and hotels",3906
2024-12-31,"HCE","Transport",7334
2025-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",2638
2025-03-31,"HCE","Clothing and footwear",2072
2025-03-31,"HCE","Communication",971
2025-03-31,"HCE","Food and nonalcoholic beverages",7718
2025-03-31,"HCE","Household contents and services",3153
2025-03-31,"HCE","Housing and household utilities",17122
2025-03-31,"HCE","Imports of low value goods purchased directly by households",748
2025-03-31,"HCE","Miscellaneous goods and services",6818
2025-03-31,"HCE","Recreation and culture",5725
2025-03-31,"HCE","Restaurants and hotels",4138
2025-03-31,"HCE","Transport",7705
2025-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",2657
2025-06-30,"HCE","Clothing and footwear",2063
2025-06-30,"HCE","Communication",993
2025-06-30,"HCE","Food and nonalcoholic beverages",7867
2025-06-30,"HCE","Household contents and services",3186
2025-06-30,"HCE","Housing and household utilities",17332
2025-06-30,"HCE","Imports of low value goods purchased directly by households",758
2025-06-30,"HCE","Miscellaneous goods and services",6898
2025-06-30,"HCE","Recreation and culture",5899
2025-06-30,"HCE","Restaurants and hotels",3982
2025-06-30,"HCE","Transport",7657
2016-06-30,"HCE","HCE Difference between ISA and QGDP",1499
2016-09-30,"HCE","HCE Difference between ISA and QGDP",1543
2016-12-31,"HCE","HCE Difference between ISA and QGDP",1583
2017-03-31,"HCE","HCE Difference between ISA and QGDP",1600
2017-06-30,"HCE","HCE Difference between ISA and QGDP",1565
2017-09-30,"HCE","HCE Difference between ISA and QGDP",1557
2017-12-31,"HCE","HCE Difference between ISA and QGDP",1565
2018-03-31,"HCE","HCE Difference between ISA and QGDP",1579
2018-06-30,"HCE","HCE Difference between ISA and QGDP",1639
2018-09-30,"HCE","HCE Difference between ISA and QGDP",1683
2018-12-31,"HCE","HCE Difference between ISA and QGDP",1729
2019-03-31,"HCE","HCE Difference between ISA and QGDP",1749
2019-06-30,"HCE","HCE Difference between ISA and QGDP",1753
2019-09-30,"HCE","HCE Difference between ISA and QGDP",1753
2019-12-31,"HCE","HCE Difference between ISA and QGDP",1752
2020-03-31,"HCE","HCE Difference between ISA and QGDP",1750
2020-06-30,"HCE","HCE Difference between ISA and QGDP",1649
2020-09-30,"HCE","HCE Difference between ISA and QGDP",1877
2020-12-31,"HCE","HCE Difference between ISA and QGDP",1929
2021-03-31,"HCE","HCE Difference between ISA and QGDP",2068
2021-06-30,"HCE","HCE Difference between ISA and QGDP",2147
2021-09-30,"HCE","HCE Difference between ISA and QGDP",2151
2021-12-31,"HCE","HCE Difference between ISA and QGDP",2266
2022-03-31,"HCE","HCE Difference between ISA and QGDP",2322
2022-06-30,"HCE","HCE Difference between ISA and QGDP",2335
2022-09-30,"HCE","HCE Difference between ISA and QGDP",2344
2022-12-31,"HCE","HCE Difference between ISA and QGDP",2404
2023-03-31,"HCE","HCE Difference between ISA and QGDP",2425
2023-06-30,"HCE","HCE Difference between ISA and QGDP",2421
2023-09-30,"HCE","HCE Difference between ISA and QGDP",2457
2023-12-31,"HCE","HCE Difference between ISA and QGDP",2535
2024-03-31,"HCE","HCE Difference between ISA and QGDP",2532
2024-06-30,"HCE","HCE Difference between ISA and QGDP",2557
2024-09-30,"HCE","HCE Difference between ISA and QGDP",2612
2024-12-31,"HCE","HCE Difference between ISA and QGDP",2611
2025-03-31,"HCE","HCE Difference between ISA and QGDP",2636
2025-06-30,"HCE","HCE Difference between ISA and QGDP",2670
1987-06-30,"HCE","HCE",8699
1987-09-30,"HCE","HCE",8877
1987-12-31,"HCE","HCE",9094
1988-03-31,"HCE","HCE",9194
1988-06-30,"HCE","HCE",9301
1988-09-30,"HCE","HCE",9725
1988-12-31,"HCE","HCE",9859
1989-03-31,"HCE","HCE",10039
1989-06-30,"HCE","HCE",10508
1989-09-30,"HCE","HCE",10202
1989-12-31,"HCE","HCE",10344
1990-03-31,"HCE","HCE",10604
1990-06-30,"HCE","HCE",10751
1990-09-30,"HCE","HCE",10864
1990-12-31,"HCE","HCE",11242
1991-03-31,"HCE","HCE",10861
1991-06-30,"HCE","HCE",10718
1991-09-30,"HCE","HCE",10870
1991-12-31,"HCE","HCE",10831
1992-03-31,"HCE","HCE",10945
1992-06-30,"HCE","HCE",10941
1992-09-30,"HCE","HCE",10938
1992-12-31,"HCE","HCE",11140
1993-03-31,"HCE","HCE",11096
1993-06-30,"HCE","HCE",11264
1993-09-30,"HCE","HCE",11407
1993-12-31,"HCE","HCE",11559
1994-03-31,"HCE","HCE",11824
1994-06-30,"HCE","HCE",12069
1994-09-30,"HCE","HCE",12318
1994-12-31,"HCE","HCE",12574
1995-03-31,"HCE","HCE",12797
1995-06-30,"HCE","HCE",12886
1995-09-30,"HCE","HCE",13112
1995-12-31,"HCE","HCE",13356
1996-03-31,"HCE","HCE",13763
1996-06-30,"HCE","HCE",13986
1996-09-30,"HCE","HCE",14185
1996-12-31,"HCE","HCE",14241
1997-03-31,"HCE","HCE",14368
1997-06-30,"HCE","HCE",14545
1997-09-30,"HCE","HCE",14625
1997-12-31,"HCE","HCE",14773
1998-03-31,"HCE","HCE",15025
1998-06-30,"HCE","HCE",15090
1998-09-30,"HCE","HCE",15216
1998-12-31,"HCE","HCE",15462
1999-03-31,"HCE","HCE",15568
1999-06-30,"HCE","HCE",15771
1999-09-30,"HCE","HCE",15905
1999-12-31,"HCE","HCE",15915
2000-03-31,"HCE","HCE",15923
2000-06-30,"HCE","HCE",16259
2000-09-30,"HCE","HCE",16500
2000-12-31,"HCE","HCE",16582
2001-03-31,"HCE","HCE",16510
2001-06-30,"HCE","HCE",16932
2001-09-30,"HCE","HCE",17201
2001-12-31,"HCE","HCE",17389
2002-03-31,"HCE","HCE",17421
2002-06-30,"HCE","HCE",17995
2002-09-30,"HCE","HCE",18277
2002-12-31,"HCE","HCE",18541
2003-03-31,"HCE","HCE",18855
2003-06-30,"HCE","HCE",19034
2003-09-30,"HCE","HCE",19262
2003-12-31,"HCE","HCE",19786
2004-03-31,"HCE","HCE",20259
2004-06-30,"HCE","HCE",20299
2004-09-30,"HCE","HCE",20894
2004-12-31,"HCE","HCE",21209
2005-03-31,"HCE","HCE",21395
2005-06-30,"HCE","HCE",21960
2005-09-30,"HCE","HCE",22136
2005-12-31,"HCE","HCE",22564
2006-03-31,"HCE","HCE",22923
2006-06-30,"HCE","HCE",23213
2006-09-30,"HCE","HCE",23526
2006-12-31,"HCE","HCE",23917
2007-03-31,"HCE","HCE",24290
2007-06-30,"HCE","HCE",24526
2007-09-30,"HCE","HCE",24736
2007-12-31,"HCE","HCE",25085
2008-03-31,"HCE","HCE",25641
2008-06-30,"HCE","HCE",25486
2008-09-30,"HCE","HCE",25909
2008-12-31,"HCE","HCE",26020
2009-03-31,"HCE","HCE",25637
2009-06-30,"HCE","HCE",26197
2009-09-30,"HCE","HCE",26428
2009-12-31,"HCE","HCE",26673
2010-03-31,"HCE","HCE",27102
2010-06-30,"HCE","HCE",27205
2010-09-30,"HCE","HCE",27443
2010-12-31,"HCE","HCE",27872
2011-03-31,"HCE","HCE",28333
2011-06-30,"HCE","HCE",28838
2011-09-30,"HCE","HCE",29220
2011-12-31,"HCE","HCE",29321
2012-03-31,"HCE","HCE",29770
2012-06-30,"HCE","HCE",29854
2012-09-30,"HCE","HCE",29853
2012-12-31,"HCE","HCE",30253
2013-03-31,"HCE","HCE",30681
2013-06-30,"HCE","HCE",31125
2013-09-30,"HCE","HCE",31430
2013-12-31,"HCE","HCE",31855
2014-03-31,"HCE","HCE",32178
2014-06-30,"HCE","HCE",32381
2014-09-30,"HCE","HCE",32802
2014-12-31,"HCE","HCE",33006
2015-03-31,"HCE","HCE",33456
2015-06-30,"HCE","HCE",33890
2015-09-30,"HCE","HCE",34467
2015-12-31,"HCE","HCE",34885
2016-03-31,"HCE","HCE",35108
2016-06-30,"HCE","HCE",37603
2016-09-30,"HCE","HCE",38165
2016-12-31,"HCE","HCE",38771
2017-03-31,"HCE","HCE",39802
2017-06-30,"HCE","HCE",40125
2017-09-30,"HCE","HCE",40617
2017-12-31,"HCE","HCE",41352
2018-03-31,"HCE","HCE",41758
2018-06-30,"HCE","HCE",42555
2018-09-30,"HCE","HCE",43320
2018-12-31,"HCE","HCE",43948
2019-03-31,"HCE","HCE",44027
2019-06-30,"HCE","HCE",44723
2019-09-30,"HCE","HCE",45334
2019-12-31,"HCE","HCE",45740
2020-03-31,"HCE","HCE",45541
2020-06-30,"HCE","HCE",40410
2020-09-30,"HCE","HCE",46238
2020-12-31,"HCE","HCE",47265
2021-03-31,"HCE","HCE",49870
2021-06-30,"HCE","HCE",50543
2021-09-30,"HCE","HCE",47661
2021-12-31,"HCE","HCE",50860
2022-03-31,"HCE","HCE",54097
2022-06-30,"HCE","HCE",53808
2022-09-30,"HCE","HCE",55223
2022-12-31,"HCE","HCE",56519
2023-03-31,"HCE","HCE",57579
2023-06-30,"HCE","HCE",58474
2023-09-30,"HCE","HCE",58482
2023-12-31,"HCE","HCE",58983
2024-03-31,"HCE","HCE",59206
2024-06-30,"HCE","HCE",59482
2024-09-30,"HCE","HCE",59770
2024-12-31,"HCE","HCE",60211
2025-03-31,"HCE","HCE",61444
2025-06-30,"HCE","HCE",61962
1987-06-30,"Total Income","Total Income",NA
1987-09-30,"Total Income","Total Income",NA
1987-12-31,"Total Income","Total Income",NA
1988-03-31,"Total Income","Total Income",NA
1988-06-30,"Total Income","Total Income",NA
1988-09-30,"Total Income","Total Income",NA
1988-12-31,"Total Income","Total Income",NA
1989-03-31,"Total Income","Total Income",NA
1989-06-30,"Total Income","Total Income",NA
1989-09-30,"Total Income","Total Income",NA
1989-12-31,"Total Income","Total Income",NA
1990-03-31,"Total Income","Total Income",NA
1990-06-30,"Total Income","Total Income",NA
1990-09-30,"Total Income","Total Income",NA
1990-12-31,"Total Income","Total Income",NA
1991-03-31,"Total Income","Total Income",NA
1991-06-30,"Total Income","Total Income",NA
1991-09-30,"Total Income","Total Income",NA
1991-12-31,"Total Income","Total Income",NA
1992-03-31,"Total Income","Total Income",NA
1992-06-30,"Total Income","Total Income",NA
1992-09-30,"Total Income","Total Income",NA
1992-12-31,"Total Income","Total Income",NA
1993-03-31,"Total Income","Total Income",NA
1993-06-30,"Total Income","Total Income",NA
1993-09-30,"Total Income","Total Income",NA
1993-12-31,"Total Income","Total Income",NA
1994-03-31,"Total Income","Total Income",NA
1994-06-30,"Total Income","Total Income",NA
1994-09-30,"Total Income","Total Income",NA
1994-12-31,"Total Income","Total Income",NA
1995-03-31,"Total Income","Total Income",NA
1995-06-30,"Total Income","Total Income",NA
1995-09-30,"Total Income","Total Income",NA
1995-12-31,"Total Income","Total Income",NA
1996-03-31,"Total Income","Total Income",NA
1996-06-30,"Total Income","Total Income",NA
1996-09-30,"Total Income","Total Income",NA
1996-12-31,"Total Income","Total Income",NA
1997-03-31,"Total Income","Total Income",NA
1997-06-30,"Total Income","Total Income",NA
1997-09-30,"Total Income","Total Income",NA
1997-12-31,"Total Income","Total Income",NA
1998-03-31,"Total Income","Total Income",NA
